Mass [Solar Mass], Radius [Solar Radii]
0.008724890846095465, 0.026173386934065686
0.011106244501675282, 0.02638869467512843
0.013940138467437932, 0.026438859970586974
0.017293303568410662, 0.026347010632376672
0.021241729698345507, 0.026133676549929482
0.02587165609287555, 0.025817102902859903
0.031280566431495585, 0.02541349727969343
0.03757814361380671, 0.024937233704958275
0.0448871187298227, 0.02440102836005387
0.05334392258480685, 0.023816094604650735
0.06309901694730098, 0.023192282937111112
0.07431674618971827, 0.022538209238518375
0.08052906668655438, 0.022202208290348458
0.08717451045913462, 0.02186137309917931
0.09427700742473658, 0.021516484746059404
0.10186102317218737, 0.02116826790680535
0.10995143541136577, 0.020817393868628624
0.11857338538346304, 0.020464483519038398
0.12775210223016675, 0.02011011017899393
0.13751269861887197, 0.019754802376092482
0.14787993631187812, 0.019399046531125366
0.1588779609304593, 0.019043289554815906
0.17053000587025088, 0.01868794136876894
0.18285806622384382, 0.018333377344237022
0.1892820504201604, 0.01815649783232231
0.19588254461341806, 0.01797994066772848
0.2026617880916978, 0.01780374409513205
0.2096218720573682, 0.017627944628295193
0.21676472674335798, 0.017452577121214397
0.22409210835475937, 0.01727767482929302
0.23160558589035948, 0.017103269476808187
0.23930652792067575, 0.016929391320923703
0.24719608938606935, 0.016756069210770382
0.25527519849768004, 0.01658333065192142
0.26354454382382986, 0.01641120186475973
0.2720045616445006, 0.016239707841629522
0.2806554236721354, 0.01606887240337208
0.28949702522855225, 0.015898718257080474
0.2985289739750289, 0.015729267046723533
0.30775057929772115, 0.015560539406288747
0.31716084244048093, 0.01539255501207593
0.3267584474914927, 0.01522533262678516
0.33654175331654984, 0.015058890152023573
0.3465087865323116, 0.014893244672349563
0.3566572356120438, 0.014728412494179215
0.3669844462102269, 0.014564409193644592
0.3774874177768359, 0.014401249652874074
0.38816280154228006, 0.014238948099469932
0.3990068999295521, 0.01407751814169446
0.4100156674442311, 0.013916972802322227
0.42118471308812483, 0.013757324552985308
0.43250930432459384, 0.013598585340641475
0.4439843726065407, 0.013440766619668624
0.4556045204830292, 0.013283879376333694
0.46736403026462364, 0.013127934153064647
0.47925687422974145, 0.012972941071280084
0.49127672633331326, 0.01281890985310853
0.5034169753694224, 0.012665849838448186
0.515670739527, 0.012513770004024084
0.5280308822524863, 0.012362678977982256
0.5404900293496047, 0.01221258505368391
0.553040587203923, 0.0120634962026079
0.5656747620316636, 0.0119154200846303
0.5783845800354505, 0.011768364058133867
0.5847653193319522, 0.011695220798402003
0.5911619083424449, 0.011622335188058249
0.597573309144167, 0.011549708065965857
0.6039984766034057, 0.011477340252899239
0.6104363590743942, 0.011405232552286476
0.6168858991057427, 0.011333385750623336
0.623346034150872, 0.011261800617120395
0.6298156972811393, 0.01119047790397754
0.6362938179004992, 0.011119418346958183
0.6427793224612638, 0.011048622664520386
0.6492711351792828, 0.010978091559014998
0.6557681787478125, 0.010907825715639054
0.6622693750482317, 0.010837825803588405
0.6687736458669785, 0.010768092475205758
0.6752799135735362, 0.010698626366752537
0.6817871018520784, 0.010629428097890081
0.688294136373607, 0.010560498272201693
0.6947999454859038, 0.010491837476474057
0.7013034608896229, 0.010423446281878239
0.7078036183071557, 0.010355325242946632
0.7142993581394075, 0.010287474898041559
0.7207896261176878, 0.010219895769227473
0.7272733739340072, 0.010152588362384344
0.7337495598696483, 0.010085553167332728
0.740217149406044, 0.010018790657571183
0.7466751158221324, 0.0099523012904279
0.7531224407799321, 0.009886085506956303
0.7595581148938645, 0.009820143732363415
0.7659811382858918, 0.009754476375073297
0.7723905211228501, 0.00968908382788779
0.7851644591642961, 0.009559124653266263
0.7978722307580226, 0.009430269026073801
0.8105063301278511, 0.009302519505574886
0.8230594582632421, 0.00917587839326903
0.8355245360562191, 0.009050347733749915
0.8478947162603444, 0.008925929315208938
0.8601633942757537, 0.008802624671210492
0.8723242177474819, 0.008680435081228932
0.8843710949815148, 0.00855936157281316
0.8962982021819172, 0.008439404923754997
0.9080999895443352, 0.008320565663784824
0.9197711862284949, 0.008202844077255888
0.9313068042086591, 0.008086240205979308
0.9427021410901124, 0.007970753852243249
0.9539527818850885, 0.00785638458228011
0.9650545998134729, 0.007743131729364111
0.9760037561769517, 0.007630994398126215
0.9867966993490023, 0.00751997146794788
0.9974301629139241, 0.0074100615979287975
1.0079011630498766, 0.007301263230815195
1.018206995167584, 0.007193574597140367
1.0283452298820157, 0.007086993720996684
1.0383137083589487, 0.006981518423769828
1.04811053708874, 0.0068771463298456965
1.0577340821629446, 0.006773874870974024
1.0671829630606922, 0.006671701291792574
1.0764560460428345, 0.006570622654538
1.0855524371601282, 0.006470635844684999
1.0944714749607352, 0.006371737575683108
1.1032127229146071, 0.006273924394024629
1.1117759616003586, 0.006177192684765295
1.1201611807250167, 0.006081538675742202
1.1283685709464404, 0.005986958444212344
1.1363985156525591, 0.005893447919461134
1.144251582580699, 0.00580100288998384
1.1519285154561283, 0.005709619006652779
1.1594302255743558, 0.005619291787953845
1.1667577834069327, 0.005530016624436148
1.17391241024395, 0.005441788783421028
1.1808954698949523, 0.005354603412994882
1.187708460476014, 0.005268455546189927
1.194353006295486, 0.005183340105400233
1.2008308498631377, 0.005099251905843933
1.2132939443107582, 0.004934135979583041
1.22511375332829, 0.0047730642909405785
1.2363076918030529, 0.004615991879826141
1.246894353596921, 0.004462872403582767
1.256893298034022, 0.004313658229657541
1.266324849987776, 0.004168300519930022
1.2752099139914364, 0.004026749307741471
1.2835698026250686, 0.0038889535678008342
1.2914260791738876, 0.0037548612797141546
